ann_term	sum	annotation
PF00702	802	haloacid dehalogenase-like hydrolase
PF00703	62	Glycosyl hydrolases family 2
PF00704	538	Glycosyl hydrolases family 18
PF00705	52	Proliferating cell nuclear antigen, N-terminal domain
PF00706	9	Anenome neurotoxin
PF00707	34	Translation initiation factor IF-3, C-terminal domain
PF00708	60	Acylphosphatase
PF00709	71	Adenylosuccinate synthetase
PF00710	56	Asparaginase, N-terminal
PF00711	78	Beta defensin
PF00714	9	Interferon gamma
PF00715	6	Interleukin 2
PF00717	163	Peptidase S24-like
PF00719	112	Inorganic pyrophosphatase
PF00722	260	Glycosyl hydrolases family 16
PF00723	84	Glycosyl hydrolases family 15
PF00724	256	NADH:flavin oxidoreductase / NADH oxidase family
PF00725	189	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00726	33	Interleukin 10
PF00727	9	Interleukin 4
PF00728	149	Glycosyl hydrolase family 20, catalytic domain
PF00730	168	HhH-GPD superfamily base excision DNA repair protein
PF00731	56	AIR carboxylase
PF00732	281	GMC oxidoreductase
PF00733	161	Asparagine synthase
PF00734	184	Fungal cellulose binding domain
PF00735	322	Septin
PF00736	93	EF-1 guanine nucleotide exchange domain
PF00737	2	Photosystem II 10 kDa phosphoprotein
PF00742	48	Homoserine dehydrogenase
PF00743	464	Flavin-binding monooxygenase-like
PF00745	14	Glutamyl-tRNAGlu reductase, dimerisation domain
PF00746	2	LPXTG cell wall anchor motif
PF00748	48	Calpain inhibitor
